課程名稱,收穫,甜度,涼度
A9-046 音樂舞蹈戲劇,6,8,7
A9-047 音樂舞蹈戲劇,6,8,7
A9-048 西方古典音樂,6,8,7
A9-049 西方古典音樂,6,8,7
A9-319 科技與國防,5,8,9
A9-320 科技與國防,5,8,9
A9-108 社會與電影,7,8,8
A9-309 工程概論,5,6,8
A9-310 工程概論,5,6,8
A9-105 心理學,7,8,8
A9-016 女性文學選讀,6,8,8
A9-017 女性文學選讀,6,8,8
A9-207 生物多樣性,7,9,8
A9-106 心理學,7,7,8
A9-315 應用電學,5,8,9
A9-011 藝術、設計與生活,6,8,9
A9-012 藝術、設計與生活,6,8,9
A9-209 情緒與壓力管理,7,8,8
A9-217 動物寄生蟲與生活,8,7,7
A9-219 醫學與健康,8,8,9
A9-222 運動與健康,7,8,9
A9-218 家庭與健康,5,7,6
A9-220 日常疼痛控制,8,8,8
A9-005 戲劇與電影,8,8,7
A9-107 創意思考,4,6,9
A9-201 中藥與健康,5,4,4
A9-103 法學緒論,4,8,9
A9-216 急難救助,7,7,8
A9-204 職能治療與健康,7,7,9
A9-311 界面化學的生活應用,5,7,8
A9-212 食品安全與衛生,6,6,7
A9-001 流行樂賞析與實務,5,8,8
A9-039 藝術叩門,7,9,7
A9-040 藝術叩門,7,9,7
A9-113 家庭關係,8,9,8
A9-206 與婦產科醫師的對話,6,6,6
A9-002 音樂文化導引,6,6,8
A9-038 基督思想,5,8,8
A9-018 臺灣古典文學,6,8,8
A9-304 應用化學與實驗,7,6,6
A9-305 應用化學與實驗,7,6,6
A9-416 無障礙智慧生活環境,8,8,8
A9-114 應用統計,7,7,7
A9-600 拍出跨域資訊應用首部曲--python,8,8,6
A9-208 生命科學概論,6,9,8
A9-003 批判思考:當代文學理論,8,7,6
A9-050 敘事取向的全人生涯發展,8,8,7
A9-061 近代歐洲文學與文化,6,6,7
A9-417 從創意發明到專利保護,6,6,8
A9-112 性別關係,7,8,9
A9-055 音樂與旅行,6,8,9
A9-423 科技與生命價值,4,5,6
A9-042 韓語與韓國文化,8,8,6
A9-054 音樂欣賞,8,7,7
A9-211 基因改造食品的好與壞,6,5,8
A9-215 基因改造食品的好與壞,6,5,8
A9-117 潛能開發-魅力學,5,8,8
A9-008 戲劇賞析,8,7,7
A9-059 越南社會與文化,6,7,8
A9-307 環境污染與防治,7,6,7
A9-404 通識教育:變動世界之素養與技能,7,9,9
A9-030 日本的歷史文化與藝術,8,8,6
A9-010 傳統戲曲與表演藝術,5,6,5
A9-415 開放資料與智慧生活,4,7,8
A9-240 生活中的毒物,7,8,8
A9-051 數位音樂創作,8,7,6
A9-052 數位音樂創作,8,7,6
A9-053 台灣原住民族文學,6,9,9
A9-057 電影配樂發展史與風格賞析,7,8,8
A9-060 英語演說,8,7,4
A9-062 當代美國及日本文學與文化,6,4,7
A9-314 認知神經科學導論,5,6,8
A9-406 智慧健康生活概論,5,6,8
A9-023 解碼台灣當代電影,8,7,8
A9-041 生命哲學與批判性思考-生、死、價值、意義,7,8,6
A9-237 傾聽與對話:冰山理論奇幻之旅,7,9,7
A9-408 生醫用工程學導論,6,5,8
A9-413 諾貝爾生醫獎得主所改變的世界,8,8,8
A9-024 近代世界的形成(16至20世紀),8,4,3
A9-410 生態工程概論,6,6,9
A9-056 世界音樂賞析,8,9,9
A9-121 生活經濟學,7,9,8
A9-125 從心理學看成功老化,8,10,10
A9-300 光電科技導論,7,6,6
A9-412 朗讀者：錄製有聲書服務視障者,10,9,9
A9-437 科學哲學,4,4,5
A9-439 台灣原住民音樂文化田野調查專題,9,10,10
A9-701 使用者經驗設計,9,8,3
A9-007 表演藝術與實作,7,5,5
A9-014 電影藝術與生活,8,7,8
A9-102 生涯規劃-精英論壇,10,9,8
A9-104 台灣原住民族當代議題與社會實踐,6,8,9
A9-116 拖延心理學：理論篇,8,10,10
A9-126 國際經貿與經濟永續發展,1,5,7
A9-405 三創與設計思維,7,10,10
A9-430 探索科學圖像,8,7,5
A9-571 台灣綜合大學通識巡迴講座-公民素養,7,6,3
A9-317 安全耐震我的家,5,7,10
A9-013 戲劇製作,8,6,3
A9-045 死亡文化史,6,9,10
A9-411 校園文化資產,8,8,8
A9-433 從電影與繪本談老年,9,7,4
A9-031 臺灣閩南語曲謠之詞曲賞析與實務,7,8,10
A9-032 臺灣閩南語曲謠之詞曲賞析與實務,7,8,10
