Course Name,Grading,Department,Teaching Strategies,Syllabus Progress,Course Description
初級會計學（一）,"期中考 Midterm Exam	30
期末考 Term exam	40
出席 Participation	10
作業 Assignments	20",會計系Accountancy,其他:略 others	100,"1	Course Introduction  and  Ch.1  Accounting in Action
2	Ch.1  Accounting in Action
3	Ch.2  The Recording Process
4	Ch.2  Analyzing and Recording Transactions
5	Ch.3  Adjusting the Accounts
6	Ch.3  Adjusting the Accounts
7	Ch.4  Completing the Accounting Cycle
8	Ch.4  Completing the Accounting Cycle
9	Mid-Term Exam(Ch 1~4)
10	Ch.5  Accounting for Merchandising Operations.
11	Ch.5  Accounting for Merchandising Operations.
12	Ch.6  Inventories.
13	Ch.6  Inventories.
14	Ch.7  Fraud, Internal Control, and Cash
15	Ch.7  Fraud, Internal Control, and Cash
16	project presentation
17	project presentation
18	Final Exam (Ch 5~7)","       介紹基本的會計學知識,作為學習中級會計學之基礎介紹基本的會計學知識,作為學習中級會計學之基礎"
微積分（一）,"作業 Assignments	20
平時測驗 Quizzes	20
期中考 Midterm Exam	30
期末考 Term exam	30",會計系Accountancy,講授 Lecture	100,"1	Course Introduction ,  §1.1 Cartesian Plane
2	§1.2 Graphs , §1.3lines , §1.4functions
3	§1.5 Limits ,  §1.6 Continuity
4	§2.1Derivative , §2.2 Rules for Differentiation, §2.3 Rates of Change
5	§2.4 Rates of Change Product and Quotient Rules , §2.5 Chain Rule
6	§2.6 Higher-Order Derivatives §2.7Implicit Differentiation , §2.8 Related Rates
7	§3.1 Increasing and Decreasing Functions , §3.2 Extrema
8	§3.3Concavity and the Second-Derivative Test §3.4 Optimization Problems
9	Midterm
10	§3.5 Business and Economics Applications §3.6 Asymptotes §3.7 Curve Sketching:
11	§3.8 Differentials and Marginal Analysis §4.1 Exponential Functions §4.2 Natural Exponential Functions
12	§4.3 Derivatives of Exponential Functions , §4.4 Logarithmic Functions§4.5 Derivatives of Logarithmic Functions
13	§4.6 Exponential Growth and Decay §5.1 Antiderivatives and Indefinite §5.2 Integrals Integration by Substitution and the General Power Rule
14	§5.3 Exponential and Logarithmic Integrals §5.4 Area and the Fundamental Theorem of Calculus
15	§5.5 The Area of a Region Bounded by Two Graphs §5.6 The Definite Integral as the Limit of a Sum
16	§6.1 Integration by Parts and Present Value §6.2 Integration Tables
17	§6.3 Numerical Integration § 6.4 Improper Integrals
18	Final Exam",       使學生了解微分、積分之運用及解法，並能靈活運用。使學生了解微分、積分之運用及解法，並能靈活運用。
經濟學（一）,"期中考 Midterm Exam	35
期末考 Term exam	40
平時測驗 Quizzes	10
小組報告 Group Projects	10
出席 Participation	5",會計系Accountancy,講授 Lecture	100,"1	Introduction
2	Economic Problem
3	Demand and Supply
4	Elasticity
5	Efficiency and Equity
6	Government Markets in Action
7	Global Markets in Action
8	Utility and Demand
9	Midterm Exam
10	Possibilities, Preferences and Choices
11	Organizing Production
12	Output and Costs
13	Perfect Competition
14	Monopoly
15	Monopolistic Competition
16	Oligopoly
17	Presentation
18	Final Exam",       介紹各經濟理論及流派，並讓學生能結合理論與圖表，進而能與實務結合。介紹各經濟理論及流派，並讓學生能結合理論與圖表，進而能與實務結合。
民法概要,"期中考 Midterm Exam	40
期末考 Term exam	40
出席 Participation	20",會計系Accountancy,講授 Lecture	100,"1	課程說明，初探法律體系及民法，並試以112年憲判字第4號判決來導入法學思維。
2	親屬(視情況提及其他章節、法律之相關概念)
3	親屬、繼承(視情況提及其他章節、法律之相關概念)
4	親屬、繼承(視情況提及其他章節、法律之相關概念)
5	民總、物權(視情況提及其他章節、法律之相關概念)
6	民總、物權(視情況提及其他章節、法律之相關概念)
7	民總(視情況提及其他章節、法律之相關概念)
8	民總、債總(視情況提及其他章節、法律之相關概念)
9	民總、債總(視情況提及其他章節、法律之相關概念)
10	債總、複習(視情況提及其他章節、法律之相關概念)
11	期中考(或第10週考試)
12	債總(視情況提及其他章節、法律之相關概念)
13	債總(視情況提及其他章節、法律之相關概念)
14	債總、債各(視情況提及其他章節、法律之相關概念)
15	債總、債各(視情況提及其他章節、法律之相關概念)
16	債各(視情況提及其他章節、法律之相關概念)
17	債各、複習(視情況提及其他章節之、法律相關概念)
18	期末考",       簡要介紹民法各編之內容概論。簡要介紹民法各編之內容概論。
初級會計學,"期中考 Midterm Exam	50
期末考 Term exam	25
出席 Participation	10
作業 Assignments	15",會計系Accountancy,"講授 Lecture	90
討論 Discussion	10","1	Test (no class)
2	ch1 Accounting in Action & ch2 The Recording Process
3	ch3 Adjusting the Accounts
4	校慶運動會補假
5	ch4 Completing the Accounting Cycle & ch5 Accounting for Merchandise Operations
6	ch6 Inventories
7	Midterm I
8	ch7 Fraud, Internal Control and Cash
9	ch8 Accounting for Receivables
10	ch9 Plant Assets, Natural Resources, and Intangible Assets
11	ch10 Current Liabilities
12	ch11 Non-Current Liabilities
13	Midterm II
14	ch12 Corporations: Organization, Share Transactions, Dividends, and Retained Earnings
15	ch13 Investments
16	ch14 Statement of Cash Flows
17	Ch 15 Financial Analysis
18	Final Exam","       介紹基本的會計學知識,作為學習中級會計學之基礎The basic of accounting"
服務學習（一）,"出席 Participation	100
出席 Participation	100",會計系Accountancy,其他:由老師安排勞動服務課程 others	100,"1	掃地
2	掃地
3	掃地
4	掃地
5	掃地
6	掃地
7	掃地
8	掃地
9	掃地
10	掃地
11	掃地
12	掃地
13	掃地
14	掃地
15	掃地
16	掃地
17	掃地
18	掃地",       會計系館內各環境及教室清潔打掃會計系館內各環境及教室清潔打掃
統計學（一）,"平時測驗 Quizzes	20
期中考 Midterm Exam	25
期末考 Term exam	25
出席 Participation	10
其他 others:筆記及課堂參與	20",會計系Accountancy,講授 Lecture	100,"1	資料與統計的實例應用 (母體與樣本) Data and Statistics (Population and Sample)
2	描述性統計：統計圖表 Descriptive Statistics: Figure and Table
3	描述性統計：數值量測 Descriptive Statistics: Numerical Measures
4	機率導論 Introduction to Probability
5	條件機率與貝氏定理 Conditional Probability and Bayes Theorem
6	隨機變數 Random Variable
7	期望值、變異數 Expected Value, Variance
8	二維分佈與共變異數 Bivariate Distribution and Covariance
9	期中考 Midterm Exam
10	離散型之機率分配 Discrete Probability Distributions
11	離散型之機率分配 Discrete Probability Distributions
12	連續型之機率分配 Continuous Probability Distributions
13	連續型之機率分配 Continuous Probability Distributions
14	抽樣與抽樣分配 Sampling and Sampling Distributions
15	抽樣與抽樣分配 Sampling and Sampling Distributions
16	點估計與區間估計 Point Estimation and Interval Estimation
17	總複習 Review
18	期末考 Final Exam",       介紹統計學理論與計算及圖表之結合。This course is designed to introduce students the basic concepts and tools in statistics. Statistical concepts and applications will be emphasized and illustrated with examples. It is hoped that the motivation of the students’ studying in statistics can be ignited through the interesting applications of statistic in practice.
中級會計學（一）,"期中考 Midterm Exam	25
期末考 Term exam	25
出席 Participation	10
個人口頭報告 Presentations	10
平時測驗 Quizzes	30",會計系Accountancy,講授 Lecture	100,"1	Introduction, Ch 1 Financial Reporting and Accounting Standards
2	Ch 1 Financial Reporting and Accounting Standards
3	Ch 2 Conceptual Framework for Financial Reporting
4	Ch 2 Conceptual Framework for Financial Reporting
5	Ch 3 The Accounting Information System
6	Ch 4 Income Statement and Related Information (IAS 1)
7	Ch 4 Income Statement and Related Information (IAS 1)
8	Ch 4 Income Statement and Related Information (IAS 1)
9	Ch 5 Statement of Financial Position and Statement of Cash Flows (IAS 7)
10	Ch 5 Statement of Financial Position and Statement of Cash Flows (IAS 7)  
[期中考]
11	Ch 6  Accounting and the Time Value of Money
12	Ch 7  Cash and Receivables (IFRS 9)
13	Ch 7  Cash and Receivables (IFRS 9)
14	Ch 7  Cash and Receivables (IFRS 9)
15	Ch 8  Valuation of Inventories：A Cost-Basis Approach (IAS 2)
16	Ch 8  Valuation of Inventories：A Cost-Basis Approach (IAS 2)
17	Ch 9  Inventories：Additional Valuation Issues (IAS 2)
18	Ch 9  Inventories：Additional Valuation Issues (IAS 2))[期末考]","       深入介紹會計準則與處理方法Intermediate Accounting (I) is the first course in the three semester sequence known as Intermediate Accounting. The primary objective of this course is to extend the student’s understanding of (IFRS based) financial accounting to include advanced topics related to conceptual framework for financial reporting, statement of comprehensive income, statement of changes in equity, statement of financial position and statement of cash flows, cash and receivables, inventory. Emphasis is placed on both accounting theory and practice and on the development of professional judgment and critical thinking skills."
成本會計（一）,"出席 Participation	10
期中考 Midterm Exam	45
期末考 Term exam	25
小組報告 Group Projects	20",會計系Accountancy,"講授 Lecture	80
報告 Presentation	10
討論 Discussion	10","1	Introduction
2	ch 1 The Manager and Management Accounting
3	ch 2 An Introduction to Cost Terms and Purposes
4	ch 3 CVP Analysis
5	Midterm Exam 1
6	國慶日放假
7	ch 4 Job Costing
8	ch 18 Process Costing
9	ch 19 Spoilage, Rework, and Scrap
10	ch5 Activity-Based Costing and Activity-Based Management
11	Midterm Exam 2
12	ch9 Inventory Costingch
13	10 Determining how costs behavech
14	ch 12 Decision Making and Relevant Informationch
15	ch 16 Allocation of Support-Department Costs, Common Costs, and Revenues
16	Final Exam
17	Group Presentation
18	Group Presentation","       介紹成本累計,成本抑減, 成本規劃與控制, 成本管理決策等會計制度介紹成本累計,成本抑減, 成本規劃與控制, 成本管理決策等會計制度"
中級會計學（二）,"其他 others:Mid-Term Exam 1	31
其他 others:Mid-Term Exam 2	31
期末考 Term exam	31
其他 others:Class Attendance & Participation	7",會計系Accountancy,"講授 Lecture	80
討論 Discussion	20","1	Introduction & Ch10 Capitalization of Interests
2	Ch10 Capitalization of Interests
3	Ch11. Depreciation, Impairments, and Depletion
4	Ch11. Depreciation, Impairments, and Depletion
5	Ch11. Depreciation, Impairments, and Depletion
6	Ch12. Intangible Assets
7	Mid-Term Exam 1
8	Ch13. Current Liabilities, Provisions, and Contingencies
9	Ch13. Current Liabilities, Provisions, and Contingencies
10	Ch14. Non-Current Liabilities
11	Ch14. Non-Current Liabilities
12	Ch15. Equity
13	Mid-Term Exam 2
14	Ch16. Dilutive Securities and Earnings per Share
15	Ch16. Dilutive Securities and Earnings per Share
16	Ch17. Investment
17	Ch17. Investment
18	Final Exam",       深入介紹會計準則與處理方法深入介紹會計準則與處理方法
