系所名稱,課程代碼,年級,課程名稱,學分數,老師名稱,課程時間
統計系 STAT,A718310-Zh  [CL1078],1,大學國文（一）,2  必修,,[1]7~8
統計系 STAT,A119110-Zk  [FLC6004],1,外國語言（一）,2  必修,,[2]5~6
統計系 STAT,H2-005 H211610  [STAT1007],1,統計學（一）,3  必修,蘇佩芳,[1]2~3 [3]2
統計系 STAT,H2-009 H210810  [STAT1003],1,微積分（一）,3  必修,戴安順,[1]5~6 [3]5
統計系 STAT,H2-010 H210400  [STAT1011],1,線性代數,3  必修,王義富,[2]7 [4]3~4
統計系 STAT,H2-017 H211210  [STAT1005],1,經濟學（一）,3  必修,李繼宇,[4]5~7
統計系 STAT,H2-019 H217910  [STAT0011],1,服務學習（一）,0  必修,李宜真,[2]N
統計系 STAT,H200000-Z1  [STAT],1,通識課程,2  必修,,[5]1~2
統計系 STAT,A215500-Zl  [OPE0300],1,體育（一）,0  必修,,[5]7~8
統計系 STAT,H2-051 H222700  [STAT2006],2,管理學,3  必修,許經明,[2]7~9
統計系 STAT,H2-055 H221100  [STAT2004],2,程式設計,3  必選,許志仲,[2]2 [5]3~4
統計系 STAT,H2-056 H220702  [STAT2019],2,機率概論,3  選修,趙昌泰,[3]2~4
統計系 STAT,H2-058 H221900  [STAT2005],2,品質管制,3  選修,林良靖,[4]2~4
統計系 STAT,H2-060 H230210  [STAT2008],2,會計學（一）,3  必修,施坤宏,[1]7~9
統計系 STAT,H2-061 H435200  [BA3330],2,商事法,3  必修,林佑鴻,[3]6~8
統計系 STAT,H2-062 H233600  [STAT2019],2,資料處理,2  選修,許志仲,未定
統計系 STAT,H2-063 H234100  [STAT3024],2,資料庫概論,2  選修,李俊毅,未定
統計系 STAT,H2-064 F725000  [CSIE2025],2,資料科學導論,3  選修,李政德,[1]1~3
統計系 STAT,H200000-Z5  [STAT],2,通識課程,2  必修,,[4]7~8
統計系 STAT,H200000-Z2  [STAT],2,通識課程,2  必修,,[2]5~6
統計系 STAT,H210030-Z  [STAT],2,體育（三）,0  必修,,[4]5~6
統計系 STAT,H2-101 H233500  [STAT3026],3,數理統計（二）,3  必修,趙昌泰,[2]3~4 [4]2
統計系 STAT,H2-103 H236301  [STAT3016],3,實驗設計,3  必修,李宜真,[2]5 [3]7~8
統計系 STAT,H2-104 H230100  [STAT3003],3,無母數統計,3  必修,張欣民,[5]2~4
統計系 STAT,H2-106 H233300  [STAT4007],3,工業統計,3  選修,鄭順林,[2]1 [4]3~4
統計系 STAT,H2-109 H233900  [STAT2020],3,作業研究,2  選修,鄭順林,未定
統計系 STAT,H2-110 H234000  [STAT3025],3,衍生性商品,2  選修,林良靖,未定
統計系 STAT,H200000-Z3  [STAT],3,通識課程,2  必修,,[5]7~8
統計系 STAT,H2-151 H240200  [STAT4008],4,統計諮詢,3  必修,李俊毅,[2]6~8
統計系 STAT,H2-152 H240700  [STAT4009],4,統計資料分析,3  必修,溫敏杰,[2]6~8
統計系 STAT,H2-158 H244101  [STAT4021],4,市場調查實務,1  必修,趙昌泰,[5]9~A
統計系 STAT,H2-160 H243000  [STAT4018],4,統計問題,3  選修,楊明宗,[4]2~4
統計系 STAT,H2-161 H143700  [ACC4015],4,公司治理與財務報導—國際會計與稅務專題研,3  選修,王金來,[5]2~4
統計系 STAT,H2-162 F743000  [CSIE5009],4,影像處理、電腦視覺及深度學習概論,3  選修,連震杰,[2]2~4
統計系 STAT,H200000-Z4  [STAT],4,通識課程,2  必修,,[5]1~2
統計系 STAT,A718310-Zh  [CL1078],1,大學國文（一）,2  必修,,[1]7~8
統計系 STAT,A119110-Zk  [FLC6004],1,外國語言（一）,2  必修,,[2]5~6
統計系 STAT,H2-005 H211610  [STAT1007],1,統計學（一）,3  必修,蘇佩芳,[1]2~3 [3]2
統計系 STAT,H2-009 H210810  [STAT1003],1,微積分（一）,3  必修,戴安順,[1]5~6 [3]5
統計系 STAT,H2-010 H210400  [STAT1011],1,線性代數,3  必修,王義富,[2]7 [4]3~4
統計系 STAT,H2-017 H211210  [STAT1005],1,經濟學（一）,3  必修,李繼宇,[4]5~7
統計系 STAT,H2-019 H217910  [STAT0011],1,服務學習（一）,0  必修,李宜真,[2]N
統計系 STAT,H200000-Z1  [STAT],1,通識課程,2  必修,,[5]1~2
統計系 STAT,A215500-Zl  [OPE0300],1,體育（一）,0  必修,,[5]7~8
統計系 STAT,H2-051 H222700  [STAT2006],2,管理學,3  必修,許經明,[2]7~9
統計系 STAT,H2-055 H221100  [STAT2004],2,程式設計,3  必選,許志仲,[2]2 [5]3~4
統計系 STAT,H2-056 H220702  [STAT2019],2,機率概論,3  選修,趙昌泰,[3]2~4
統計系 STAT,H2-058 H221900  [STAT2005],2,品質管制,3  選修,林良靖,[4]2~4
統計系 STAT,H2-060 H230210  [STAT2008],2,會計學（一）,3  必修,施坤宏,[1]7~9
統計系 STAT,H2-061 H435200  [BA3330],2,商事法,3  必修,林佑鴻,[3]6~8
統計系 STAT,H2-062 H233600  [STAT2019],2,資料處理,2  選修,許志仲,未定
統計系 STAT,H2-063 H234100  [STAT3024],2,資料庫概論,2  選修,李俊毅,未定
統計系 STAT,H2-064 F725000  [CSIE2025],2,資料科學導論,3  選修,李政德,[1]1~3
統計系 STAT,H200000-Z5  [STAT],2,通識課程,2  必修,,[4]7~8
統計系 STAT,H200000-Z2  [STAT],2,通識課程,2  必修,,[2]5~6
統計系 STAT,H210030-Z  [STAT],2,體育（三）,0  必修,,[4]5~6
統計系 STAT,H2-101 H233500  [STAT3026],3,數理統計（二）,3  必修,趙昌泰,[2]3~4 [4]2
統計系 STAT,H2-103 H236301  [STAT3016],3,實驗設計,3  必修,李宜真,[2]5 [3]7~8
統計系 STAT,H2-104 H230100  [STAT3003],3,無母數統計,3  必修,張欣民,[5]2~4
統計系 STAT,H2-106 H233300  [STAT4007],3,工業統計,3  選修,鄭順林,[2]1 [4]3~4
統計系 STAT,H2-109 H233900  [STAT2020],3,作業研究,2  選修,鄭順林,未定
統計系 STAT,H2-110 H234000  [STAT3025],3,衍生性商品,2  選修,林良靖,未定
統計系 STAT,H200000-Z3  [STAT],3,通識課程,2  必修,,[5]7~8
統計系 STAT,H2-151 H240200  [STAT4008],4,統計諮詢,3  必修,李俊毅,[2]6~8
統計系 STAT,H2-152 H240700  [STAT4009],4,統計資料分析,3  必修,溫敏杰,[2]6~8
統計系 STAT,H2-158 H244101  [STAT4021],4,市場調查實務,1  必修,趙昌泰,[5]9~A
統計系 STAT,H2-160 H243000  [STAT4018],4,統計問題,3  選修,楊明宗,[4]2~4
統計系 STAT,H2-161 H143700  [ACC4015],4,公司治理與財務報導—國際會計與稅務專題研,3  選修,王金來,[5]2~4
統計系 STAT,H2-162 F743000  [CSIE5009],4,影像處理、電腦視覺及深度學習概論,3  選修,連震杰,[2]2~4
統計系 STAT,H200000-Z4  [STAT],4,通識課程,2  必修,,[5]1~2
會計系 ACC,A119110-Zj  [FLC6004],1,外國語言（一）,2  必修,,[2]5~6
會計系 ACC,H1-003 H111710  [ACC1006],1,初級會計學（一）,3  必修,林囿成,[2]2~4
,H111710  [ACC1006],1,,,林囿成,[5]1~2
會計系 ACC,A718310-Zg  [CL1078],1,大學國文（一）,2  必修,,[1]7~8
會計系 ACC,H1-005 H115611  [ACC1011],1,微積分（一）,3  必修,黃秀娟,[3]7~9
會計系 ACC,H1-006 H111210  [ACC1003],1,經濟學（一）,3  必修,伍弘歷,[2]7~9
會計系 ACC,H1-007 H111100  [ACC1002],1,民法概要,3  必選,陳柏諭,[4]6~8
會計系 ACC,A215500-Zk  [OPE0300],1,體育（一）,0  必修,,[5]7~8
會計系 ACC,H1-010 H112200  [ACC1012],1,初級會計學,3  選修,吳思蓉,[4]2~4
會計系 ACC,H100000-Z1  [ACC],1,通識課程,2  必修,,[3]3~4
會計系 ACC,H1-016 H117910  [ACC0002],1,服務學習（一）,0  必修,黄馨儀,[1]9
會計系 ACC,H1-051 H120310  [ACC2004],2,統計學（一）,3  必修,林良靖,[3]2~4
會計系 ACC,H1-052 H122110-1  [ACC2002],2,中級會計學（一）,4  必修,李品陞,[3]6~8
,H122110-1  [ACC2002],2,,,李品陞,[3]5 [3]9
會計系 ACC,H1-053 H130610  [ACC2008],2,成本會計（一）,3  必修,吳思蓉,[2]2~4
,H130610  [ACC2008],2,,,吳思蓉,[2]1 [5]N
會計系 ACC,H1-054 H121800  [ACC2006],2,商業應用軟體,3  選修,顏盟峯,[4]2~4
會計系 ACC,H125000-Z2  [ACC],2,通識課程,2  必修,,[2]5~6
會計系 ACC,H125000-Z5  [ACC],2,通識課程,2  必修,,[1]7~8
會計系 ACC,H110030-Z  [ACC],2,體育（三）,0  必修,,[4]5~6
會計系 ACC,H1-062 H122121  [ACC2003],2,中級會計學（二）,4  選修,謝喻婷,[3]2~4
,H122121  [ACC2003],2,,,謝喻婷,[3]9~A
會計系 ACC,H1-070 H122600  [ACC2015],2,區塊鏈與去中心化金融,2  選修,劉梧柏,未定
會計系 ACC,H1-071 H122900  [ACC2018],2,計算思維與商業分析,3  選修,吳思蓉,未定
會計系 ACC,H1-072 H123000  [ACC2019],2,企業併購財務會計,3  選修,廖麗凱,未定
會計系 ACC,H1-101 H122130  [ACC3024],3,中級會計學（三）,4  必修,周庭楷,[4]2~4
,H122130  [ACC3024],3,,,周庭楷,[4]1 [4]N
會計系 ACC,H1-102 H130511  [ACC3005],3,高級會計學（一）,3  必修,劉梧柏,[2]6~8
,H130511  [ACC3005],3,,,劉梧柏,[2]5 [2]9
會計系 ACC,H1-103 H120402  [ACC3001],3,公司法及商業會計法,3  必修,李育禹,[3]6~8
會計系 ACC,H1-105 H133600  [ACC3014],3,固定收益型證券,3  選修,王澤世,[2]2~4
會計系 ACC,H1-106 H144500  [ACC4025],3,會計與金融數據分析,3  選修,劉梧柏,[1]6~8
會計系 ACC,H1-107 H140700  [ACC4005],3,管理決策會計,3  選修,楊朝旭,[4]6~8
會計系 ACC,H125000-Z3  [ACC],3,通識課程,2  必修,,[3]3~4
會計系 ACC,H1-151 H140620  [ACC3017E],4,審計學（二）,3  必修,黄馨儀,[4]6~8
,H140620  [ACC3017E],4,,,黄馨儀,[4]5 [4]9
會計系 ACC,H1-152 H132801  [ACC4002],4,所得稅法,3  選修,林志隆,[3]2~4
會計系 ACC,H1-153 H143700  [ACC4015],4,公司治理與財務報導—國際會計與稅務專題研,3  選修,王金來,[5]2~4
會計系 ACC,H1-154 H143900  [ACC3026],4,企業經營與會計實務,3  選修,林姿妤,[5]6~8
會計系 ACC,H1-155 H144300  [ACC4019],4,會計師業務實戰研討,3  選修,廖鴻儒,[1]6~8
會計系 ACC,H1-156 H144201  [ACC5001],4,會計師業務實務研討及專業趨勢發展,3  選修,蘇彥達,[2]6~8
會計系 ACC,H125000-Z4  [ACC],4,通識課程,2  必修,,[3]3~4
工資系 IIM,A718310-Zi  [CL1078],1,大學國文（一）,2  必修,,[4]7~8
工資系 IIM,A119110-Zl  [FLC6004],1,外國語言（一）,2  必修,,[1]5~6
