外國語言（一）,[2]5~6
初級會計學（一）,[2]2~4
,[5]1~2
大學國文（一）,[1]7~8
微積分（一）,[3]7~9
經濟學（一）,[2]7~9
民法概要,[4]6~8
體育（一）,[5]7~8
初級會計學,[4]2~4
通識課程,[3]3~4
服務學習（一）,[1]9
統計學（一）,[3]2~4
中級會計學（一）,[3]6~8
,[3]5 [3]9
成本會計（一）,[2]2~4
,[2]1 [5]N
商業應用軟體,[4]2~4
通識課程,[2]5~6
通識課程,[1]7~8
體育（三）,[4]5~6
中級會計學（二）,[3]2~4
,[3]9~A
區塊鏈與去中心化金融,未定
計算思維與商業分析,未定
企業併購財務會計,未定
中級會計學（三）,[4]2~4
,[4]1 [4]N
高級會計學（一）,[2]6~8
,[2]5 [2]9
公司法及商業會計法,[3]6~8
固定收益型證券,[2]2~4
會計與金融數據分析,[1]6~8
管理決策會計,[4]6~8
通識課程,[3]3~4
審計學（二）,[4]6~8
,[4]5 [4]9
所得稅法,[3]2~4
公司治理與財務報導—國際會計與稅務專題研,[5]2~4
企業經營與會計實務,[5]6~8
會計師業務實戰研討,[1]6~8
會計師業務實務研討及專業趨勢發展,[2]6~8
通識課程,[3]3~4
大學國文（一）,[1]7~8
外國語言（一）,[2]5~6
統計學（一）,[1]2~3 [3]2
微積分（一）,[1]5~6 [3]5
線性代數,[2]7 [4]3~4
經濟學（一）,[4]5~7
服務學習（一）,[2]N
通識課程,[5]1~2
體育（一）,[5]7~8
管理學,[2]7~9
程式設計,[2]2 [5]3~4
機率概論,[3]2~4
品質管制,[4]2~4
會計學（一）,[1]7~9
商事法,[3]6~8
資料處理,未定
資料庫概論,未定
資料科學導論,[1]1~3
通識課程,[4]7~8
通識課程,[2]5~6
體育（三）,[4]5~6
數理統計（二）,[2]3~4 [4]2
實驗設計,[2]5 [3]7~8
無母數統計,[5]2~4
工業統計,[2]1 [4]3~4
作業研究,未定
衍生性商品,未定
通識課程,[5]7~8
統計諮詢,[2]6~8
統計資料分析,[2]6~8
市場調查實務,[5]9~A
統計問題,[4]2~4
公司治理與財務報導—國際會計與稅務專題研,[5]2~4
影像處理、電腦視覺及深度學習概論,[2]2~4
通識課程,[5]1~2
大學國文（一）,[4]7~8
外國語言（一）,[1]5~6
微積分（一）,[3]7~8 [5]6
,[5]5
,[5]5
,[5]5
微積分（一）,[3]7~8 [5]6
,[5]5
,[5]5
,[5]5
微積分（一）,[3]7~8 [5]6
,[5]5
,[5]5
,[5]5
微積分（一）,[3]7~8 [5]6
,[5]5
,[5]5
,[5]5
經濟學（一）,[5]2~4
工業管理概論,[2]3~4 [4]2
計算機概論,[1]2~3 [3]2
管理數學,[3]5~6 [5]1
服務學習（一）,[3]1
通識課程,[4]5~6
體育（一）,[1]7~8
統計學（一）,[1]2~3 [3]2
管理學,[2]1 [4]3~4
資料結構,[2]3~4 [4]2
會計學,[4]6~8
企業通訊網路,[3]3~4 [5]2
通識課程,[1]7~8
體育（三）,[2]7~8
通識課程,[2]5~6
生產與作業管理,[3]3~4 [5]2
