經濟學（二）
Grading
方法,百分比%
方法,百分比%
期中考 Midterm Exam,28,期末考 Term exam,26,平時測驗 Quizzes,24,作業 Assignments,10,出席 Participation,8,其他 others:心得報告,4
期中考 Midterm Exam,28
期末考 Term exam,26
平時測驗 Quizzes,24
作業 Assignments,10
出席 Participation,8
其他 others:心得報告,4

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,80
實作 Workshop,10
影音欣賞 Video/music appreciation,10

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,總體經濟學介紹及導論　The Introduction to Macroeconomics　（Ch. 16)
2,外部性暨公共財 Externalities and Public Goods (Chs. 11 & 14)
3,國民所得的定義與計算 Measuring National Income (GDP/GNP)(Ch. 17)
4,經濟成長與生產力的計算 Measuring Economic Growth and productivity　(Chs. 17 & 19)
5,物價水準與通貨膨脹 Price Level and Inflation (Ch.18)
6,就業與失業結構　Monitoring Jobs and Unemployment (Chs. 20 & 24)
7,所得分配暨勞動市場 Income Distribution and Labor Market (Chs. 13 & 20)
8,經濟波動與景氣循環  Economic Fluctuations and Business Cycles (Ch. 24)
9,期中考 Mid-term Exam.
10,總供給與總需求 Aggregate Supply and Aggregate Demand (Ch. 27)
11,"凱因斯模型: 總支出、均衡所得與乘數效果  The Keynesian Model: Aggregate Expenditure,Equilibrium Income and Multiplier Effect (Ch. 25)"
12,"認識貨幣 Money: Definition, Function and its Evolution (Ch. 22)"
13,中央銀行暨貨幣政策與工具 Central Bank as well as Monetary Policy and Tools (Chs. 22 & 26)
14,"金融體系、機構與金融市場 Financial System,Institutions, and Financial Market (Ch. 23)"
15,"利率、儲蓄與資本　Interest Rate, Saving and Capital (Ch. 21)"
16,匯率與國際金融　The Exchange Rate and International Finance　(Ch. 28)
17,國際貿易與比較利益法則 International Trade and the Law of Comparative Advantage (Chs. 2 & 15)
18,期末考 Final Exam.

資訊管理概論
Grading
方法,百分比%
方法,百分比%
平時測驗 Quizzes,15,期中考 Midterm Exam,20,期末考 Term exam,20,小組報告 Group Projects,35,出席 Participation,10
平時測驗 Quizzes,15
期中考 Midterm Exam,20
期末考 Term exam,20
小組報告 Group Projects,35
出席 Participation,10

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,60
個案研討 Case study,20
報告 Presentation,20

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,"Introduction to the course;
What is an information system (IS);
Foundations of IS and information technology (IT)"
2,"IS and business processes; 
Role of the IS in a business; 
Information quality and process improvement"
3,"Impact of IS on organizations; 
Corporate competitive strategies and IS; 
The business value chain models for strategic IS applications"
4,"IT infrastructure; 
Development of new hardware and software; 
Challenges of managing IT/IS"
5,"Group assignment and presentation I; 
Draft of the business and system development plan"
6,"Database processing; 
Database management system (DBMS); 
Data governance and quality assurance"
7,"IS security; 
IS control and risk management;
Tools for ensuring IS security"
8,Case study
9,Midterm Exam
10,"	Enterprise systems	The role of customer relationship management systems (CRM), supply chain management systems (SCM), and other enterprise systems"
11,"Electronic commerce (e-commerce);
Digital market;
E-commerce and mobile commerce applications"
12,"Knowledge management systems (KMS);
Artificial intelligence (AI) and machine learning (ML);
KMS, AI, ML, and business value"
13,"Group assignment and presentation II;
Strategic information system planning"
14,"Decision support systems (DSS);
Business intelligence (BI)"
15,"IS implementation and organizational change;
Overview of system analysis and design;
System development life cycle (SDLC)	Other methods of system analysis and design"
16,"Justification of building IS;
Overview of IS project management (PM);
Risk management of IS projects"
17,Final Exam
18,"Group assignment and presentation IIIFinal group project delivery (code, documentation, and presentation slices)"

計算機程式及應用
Grading
方法,百分比%
方法,百分比%
期中考 Midterm Exam,25,期末考 Term exam,25,作業 Assignments,25,平時測驗 Quizzes,15,出席 Participation,10
期中考 Midterm Exam,25
期末考 Term exam,25
作業 Assignments,25
平時測驗 Quizzes,15
出席 Participation,10

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,50
其他:homework others,30
其他:exams others,20

服務學習（二）
Grading
方法,百分比%
方法,百分比%
出席 Participation,100
出席 Participation,100

Teaching Strategies
方法,百分比%
方法,百分比%
實作 Workshop,100

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,系館周遭環境清潔
2,系館周遭環境清潔
3,系館周遭環境清潔
4,系館周遭環境清潔
5,系館周遭環境清潔
6,系館周遭環境清潔
7,系館周遭環境清潔
8,系館周遭環境清潔
9,系館周遭環境清潔
10,系館周遭環境清潔
11,系館周遭環境清潔
12,系館周遭環境清潔
13,系館周遭環境清潔
14,系館周遭環境清潔
15,系館周遭環境清潔
16,系館周遭環境清潔
17,系館周遭環境清潔
18,系館周遭環境清潔

微積分（二）
Grading
方法,百分比%
方法,百分比%
平時測驗 Quizzes,30,期中考 Midterm Exam,40,期末考 Term exam,30
平時測驗 Quizzes,30
期中考 Midterm Exam,40
期末考 Term exam,30

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,75
討論 Discussion,25

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Derivatives and Integrals of Trigonometric Functions
2,Sequence and Series
3,Series and Convergence
4,Power Series and Taylor’s Theorem
5,Taylor Polynomials
6,1st Midterm
7,Probability and Calculus
8,Discrete and Continuous Random Variables
9,Expected Value and Variance
10,1st Order Differential Equations
11,Functions of Several Variables
12,2nd Midterm
13,Partial Derivatives and Relative Extrema for Functions of Several Variables
14,Optimization Problem and Lagrange Multiplier Method
15,Double Integrals
16,Double Integral in Polar Coordinates and Jacobian
17,Applications of Double Integrals
18,Final Exam

管理數學
Grading
方法,百分比%
方法,百分比%
出席 Participation,10,平時測驗 Quizzes,15,作業 Assignments,25,期中考 Midterm Exam,25,期末考 Term exam,25
出席 Participation,10
平時測驗 Quizzes,15
作業 Assignments,25
期中考 Midterm Exam,25
期末考 Term exam,25

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,100

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Straight Lines and Linear Functions.
2,Systems Of Linear Equations and Matrice.
3,Linear Programming: a Geometric Approach.
4,Linear Programming: an Algebraic Approach.
5,"Introduction to inverse, determinant and Cramer's rule"
6,Sets And Counting.
7,Probability.
8,Probability Distributions and Statistics.
9,Markov Chains and the Theory of Games.
10,Mathematics of Finance.

統計學（二）
Grading
方法,百分比%
方法,百分比%
作業 Assignments,20,期中考 Midterm Exam,40,期末考 Term exam,20,其他 others:Lab Participation,20
作業 Assignments,20
期中考 Midterm Exam,40
期末考 Term exam,20
其他 others:Lab Participation,20

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,80
討論 Discussion,10
報告 Presentation,10

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Review of probability
2,Review of probability
3,Review of hypothesis testing
4,Inferences about population variances
5,Independent and goodness-of-fit tests
6,Midterm Exam
7,Analysis of variance
8,Analysis of variance
9,Analysis of variance
10,Simple linear regression
11,Simple linear regression
12,Midterm Exam
13,Multiple regression
14,Multiple regression
15,Regression analysis
16,Regression analysis
17,Nonparametric methods (may not be covered in this semester)
18,Final Exam

資料庫管理
Grading
方法,百分比%
方法,百分比%
作業 Assignments,30,期中考 Midterm Exam,30,期末考 Term exam,25,個人書面報告 Projects,15
作業 Assignments,30
期中考 Midterm Exam,30
期末考 Term exam,25
個人書面報告 Projects,15

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,75
實作 Workshop,25

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Introduction to databases
2,Introduction to databases
3,Entity-relationship modeling
4,Database analysis
5,Database analysis
6,Relational database design
7,Relational database design
8,Relational database design
9,Relational database design
10,Physical database design
11,Physical database design
12,Physical database design
13,Physical database design
14,Structure query language (SQL)
15,Structure query language (SQL)
16,Structure query language (SQL)
17,Adminstration
18,Adminstration

作業研究
企業通訊網路
Grading
方法,百分比%
方法,百分比%
期中考 Midterm Exam,50,期末考 Term exam,25,平時測驗 Quizzes,20,其他 others:wiring,5
期中考 Midterm Exam,50
期末考 Term exam,25
平時測驗 Quizzes,20
其他 others:wiring,5

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,100

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Introduction Ch1
2,"Ch2, Ch3"
3,"Ch5, Ch6"
4,Ch7 ~ Ch8
5,Ch9 ~ Ch10 Review
6,Mid Exam 1
7,Ch12
8,Ch 13 ~ Ch14
9,Ch15 ~ Ch17
10,Ch 18
11,Ch 19 ~ Ch 20  Review
12,Mid Exam 2    Ch 21
13,"Ch 22, Ch 23"
14,Ch25
15,"Ch 26, Ch 27"
16,Ch 28
17,Ch 29 &  Review
18,Final Exam

線性代數
Grading
方法,百分比%
方法,百分比%
平時測驗 Quizzes,15,期中考 Midterm Exam,25,期末考 Term exam,25,作業 Assignments,35
平時測驗 Quizzes,15
期中考 Midterm Exam,25
期末考 Term exam,25
作業 Assignments,35

Teaching Strategies
方法,百分比%
方法,百分比%
講授 Lecture,100

Syllabus Progress
,進度說明 Progress Description
,進度說明 Progress Description
1,Introduction to vectors
2,"Introduction to linear combination, length and dot product."
3,Solving linear equations I
4,Solving linear equations II
5,Introduction to vector spaces
6,Introduction to subspaces
7,Basis and dimension of a vector space I
8,Basis and dimension of a vector space II
9,Midterm exam
10,Projection a vector onto a space
11,Orthogonal bases and Gram-Schmidt process
12,Determinant of a matrix
